ML, 0005, 2021091306, 03, AP01, 000, 21.0,   86.0, 30, 995, 09/13/21 06UTC, 144, Sun, 09/19/21 06UTC, europe
ML, 0005, 2021091306, 03, AP02, 000, 21.0,   86.0, 27, 994, 09/13/21 06UTC, 144, Sun, 09/19/21 06UTC, europe
ML, 0005, 2021091306, 03, AP03, 000, 21.0,   86.0, 28, 995, 09/13/21 06UTC, 144, Sun, 09/19/21 06UTC, europe
ML, 0005, 2021091306, 03, AP04, 000, 21.0,   85.5, 27, 995, 09/13/21 06UTC, 144, Sun, 09/19/21 06UTC, europe
ML, 0005, 2021091306, 03, AP05, 000, 21.0,   86.0, 29, 995, 09/13/21 06UTC, 144, Sun, 09/19/21 06UTC, europe
ML, 0005, 2021091306, 03, AP06, 000, 21.0,   86.0, 25, 995, 09/13/21 06UTC, 144, Sun, 09/19/21 06UTC, europe
ML, 0005, 2021091306, 03, AP07, 000, 21.0,   86.0, 31, 994, 09/13/21 06UTC, 144, Sun, 09/19/21 06UTC, europe
ML, 0005, 2021091306, 03, AP08, 000, 21.0,   86.0, 29, 994, 09/13/21 06UTC, 144, Sun, 09/19/21 06UTC, europe
ML, 0005, 2021091306, 03, AP09, 000, 21.0,   86.0, 27, 994, 09/13/21 06UTC, 144, Sun, 09/19/21 06UTC, europe
ML, 0005, 2021091306, 03, AP10, 000, 21.0,   86.0, 26, 995, 09/13/21 06UTC, 144, Sun, 09/19/21 06UTC, europe
ML, 0005, 2021091306, 03, AP11, 000, 21.0,   86.0, 29, 995, 09/13/21 06UTC, 144, Sun, 09/19/21 06UTC, europe
ML, 0005, 2021091306, 03, AP12, 000, 21.0,   86.0, 33, 993, 09/13/21 06UTC, 144, Sun, 09/19/21 06UTC, europe
ML, 0005, 2021091306, 03, AP13, 000, 21.0,   86.0, 31, 994, 09/13/21 06UTC, 144, Sun, 09/19/21 06UTC, europe
ML, 0005, 2021091306, 03, AP14, 000, 21.0,   86.0, 28, 994, 09/13/21 06UTC, 144, Sun, 09/19/21 06UTC, europe
ML, 0005, 2021091306, 03, AP15, 000, 21.0,   86.0, 31, 995, 09/13/21 06UTC, 144, Sun, 09/19/21 06UTC, europe
ML, 0005, 2021091306, 03, AP16, 000, 21.0,   86.0, 29, 994, 09/13/21 06UTC, 144, Sun, 09/19/21 06UTC, europe
ML, 0005, 2021091306, 03, AP17, 000, 20.9,   86.1, 31, 996, 09/13/21 06UTC, 144, Sun, 09/19/21 06UTC, europe
ML, 0005, 2021091306, 03, AP18, 000, 21.0,   86.0, 28, 995, 09/13/21 06UTC, 144, Sun, 09/19/21 06UTC, europe
ML, 0005, 2021091306, 03, AP19, 000, 20.9,   85.9, 30, 994, 09/13/21 06UTC, 144, Sun, 09/19/21 06UTC, europe
ML, 0005, 2021091306, 03, AP20, 000, 21.0,   86.0, 29, 995, 09/13/21 06UTC, 144, Sun, 09/19/21 06UTC, europe
ML, 0005, 2021091306, 03, AP21, 000, 21.0,   86.8, 28, 995, 09/13/21 06UTC, 144, Sun, 09/19/21 06UTC, europe
